dm_1,lai_2,foto_2,lai_1,temp_1,lai_3,lai_4,foto_1,mikro_1,meldug_4,straaling_1,straaling_3,dm_4,nedboer_3,middel_2,temp_3,dm_2,nedboer_1,meldug_1,middel_1,mikro_3,lai_0,dm_3,meldug_2,nedboer_2,straaling_4,temp_4,foto_3,udbytte,mikro_2,middel_3,temp_2,meldug_3,straaling_2,foto_4
18,6,9,6,3,4,1,12,3,0,3,1,67,2,3,0,29,2,2,0,3,3,60,0,2,0,0,22,7,3,1,3,0,0,9
11,4,10,4,2,3,1,9,2,0,0,0,55,2,0,2,25,1,3,2,3,2,46,0,2,2,2,16,71,2,2,0,0,1,10
18,3,9,4,0,2,1,12,1,0,1,0,51,1,2,1,27,0,3,3,3,1,43,5,0,2,0,14,67,0,2,1,1,1,10
15,7,13,6,1,5,2,11,2,0,0,3,75,0,2,1,32,0,2,1,0,3,62,0,1,2,1,21,15,3,0,0,0,1,12
13,5,15,5,0,3,1,10,1,0,0,0,53,0,2,1,34,0,6,1,3,3,50,0,2,2,1,14,69,2,2,2,0,1,7
13,0,1,3,0,0,0,10,1,3,1,0,8,1,3,1,10,0,3,3,2,2,14,7,2,2,1,5,22,2,1,0,7,0,0
18,5,10,6,0,4,1,12,2,0,0,1,66,0,0,1,30,2,0,3,1,3,58,0,2,0,2,20,6,2,1,1,0,0,9
18,7,10,7,2,6,2,12,0,0,0,1,71,1,0,0,31,1,2,2,3,3,60,0,2,2,1,22,10,2,1,1,0,0,11
19,3,11,4,0,2,1,12,1,0,1,0,48,1,3,0,34,0,3,2,3,2,47,0,2,2,2,12,65,2,1,0,0,1,6
11,4,14,4,1,3,1,9,3,0,0,0,56,0,1,2,29,2,8,1,1,1,44,1,0,1,0,13,72,0,1,2,0,1,12
16,5,10,5,3,3,1,12,3,8,1,0,57,1,3,1,28,2,8,0,1,3,52,8,2,1,1,17,72,2,3,0,8,0,8
5,1,6,1,0,1,0,6,1,0,1,1,23,2,0,1,11,0,7,2,2,3,26,4,2,1,1,11,40,2,1,0,1,1,3
19,3,8,3,0,2,1,13,3,0,1,1,55,2,3,1,27,2,3,2,3,0,48,4,1,2,1,16,71,2,0,0,4,0,9
17,4,9,4,0,3,1,13,2,0,1,1,64,0,3,0,26,2,4,0,0,1,54,0,1,0,2,20,4,1,2,0,0,0,11
15,4,9,5,0,3,1,11,3,0,1,1,58,2,1,1,24,2,8,1,3,2,53,2,0,1,2,20,73,1,3,1,0,0,8
9,0,0,3,0,0,0,8,1,0,0,0,0,0,1,1,4,0,5,3,1,1,3,7,1,2,1,3,0,3,0,3,6,0,0
13,6,14,6,0,4,1,9,0,0,0,0,56,2,3,1,33,0,8,2,3,3,52,0,1,0,1,15,72,2,3,2,0,0,7
0,0,2,0,0,0,0,0,2,7,1,0,0,2,3,2,0,2,7,0,3,2,4,8,1,0,0,5,0,3,3,1,8,0,0
13,5,10,5,0,3,1,10,0,0,0,0,53,1,2,0,26,0,8,2,1,3,51,0,1,0,2,17,69,2,2,0,0,0,6
20,4,11,4,3,3,1,13,2,0,3,2,46,1,0,1,34,0,3,2,1,1,46,0,2,2,0,12,62,3,1,1,0,1,5
19,7,11,6,0,5,2,12,1,0,1,0,70,1,1,1,31,1,1,0,3,2,59,0,1,0,1,20,9,2,1,2,0,0,12
14,4,11,4,1,2,1,10,0,0,1,1,54,1,1,1,28,0,8,0,2,1,50,0,2,0,1,17,70,2,2,0,0,1,7
10,5,13,5,0,4,1,7,3,0,2,1,57,2,2,1,28,1,3,2,3,3,56,0,2,2,1,20,73,2,3,0,0,1,7
21,3,10,4,0,2,1,15,1,0,3,0,52,0,2,1,32,0,8,0,0,2,47,1,2,2,2,13,68,3,2,3,0,1,8
18,5,10,5,0,3,1,12,0,5,0,0,61,1,3,1,32,0,6,3,1,3,52,6,1,2,0,15,2,2,3,1,6,0,10
14,3,9,3,2,2,1,11,0,0,0,1,57,1,3,0,25,0,7,2,3,3,48,1,2,1,1,17,73,3,0,0,2,0,9
10,3,10,4,1,3,1,9,0,0,0,1,54,1,1,1,22,0,6,1,1,1,45,0,0,2,1,17,70,1,2,0,0,1,9
18,6,12,7,2,5,1,12,0,0,0,1,71,2,2,0,35,1,0,2,2,3,72,0,1,2,1,25,10,3,0,0,0,0,6
13,4,10,4,2,3,1,10,0,4,1,0,57,2,1,1,28,0,3,3,2,1,47,8,1,2,1,15,72,3,3,0,2,0,9
11,6,9,7,0,4,1,9,0,0,0,1,54,1,3,1,22,0,4,1,3,3,43,0,2,1,1,16,70,2,0,0,0,0,11
8,4,9,4,1,3,1,7,0,0,2,0,51,0,0,0,18,0,1,2,1,1,45,0,1,2,0,18,67,1,2,3,0,0,8
14,2,13,3,1,1,0,10,2,0,1,0,38,0,1,2,31,1,5,0,1,2,39,8,1,0,1,10,55,2,0,0,0,3,4
15,5,8,5,1,4,1,10,0,0,0,1,52,1,2,1,24,0,2,3,3,1,48,2,1,0,2,18,68,1,1,1,0,0,8
6,2,7,2,3,2,1,6,1,0,0,2,40,1,2,1,13,0,7,1,3,2,29,6,2,1,1,12,57,2,3,0,0,1,10
19,7,13,7,2,5,2,13,0,0,1,3,86,0,2,2,37,0,4,2,1,4,70,0,1,0,1,23,25,2,2,0,0,0,15
10,4,15,4,3,3,1,8,3,0,0,0,63,2,0,1,33,1,3,2,3,3,54,1,0,2,0,16,3,0,2,2,0,1,9
17,6,11,5,1,4,2,12,0,0,1,1,73,0,3,0,31,0,6,0,0,3,63,0,1,0,1,22,13,3,1,3,1,3,11
18,6,10,7,2,4,1,12,2,0,1,1,71,2,2,1,32,1,6,0,3,3,61,0,2,1,0,21,12,2,3,0,0,0,11
8,3,8,4,1,2,1,7,1,0,2,0,42,0,1,0,17,0,1,0,0,1,34,0,0,0,2,13,58,1,3,3,0,1,9
16,3,10,4,0,2,1,11,1,0,1,0,51,1,1,0,29,0,2,1,1,2,50,0,0,2,2,16,68,0,2,0,0,0,6
16,4,6,4,0,3,1,12,0,0,1,0,51,1,0,1,23,0,1,1,0,1,40,0,1,0,1,14,67,1,0,1,0,2,10
20,6,12,7,0,5,1,14,2,0,3,0,61,1,2,1,36,1,2,0,0,4,58,0,2,2,1,16,2,2,2,1,0,1,8
10,3,14,3,1,2,0,8,3,5,0,1,41,2,3,2,29,2,8,0,3,0,46,2,1,0,2,13,58,2,3,2,6,3,2
11,4,9,4,0,3,1,9,2,0,0,1,56,0,1,2,24,0,0,0,1,1,46,0,1,1,1,16,72,2,1,0,0,0,11
16,3,10,3,2,2,1,11,2,0,1,1,48,0,0,0,29,2,8,0,0,0,48,0,2,2,1,14,65,3,1,1,0,3,5
13,5,11,5,1,3,1,10,2,0,1,1,59,2,0,1,27,1,3,0,3,3,55,2,0,2,0,20,74,0,0,2,0,0,7
11,4,10,5,0,3,1,8,1,0,2,0,51,2,2,1,25,1,0,1,2,2,39,0,2,0,2,13,67,2,0,0,0,0,12
15,2,7,3,1,1,0,10,2,6,1,1,28,0,0,1,20,1,3,2,1,0,31,2,0,2,2,10,46,1,3,3,1,1,2
16,6,14,7,1,5,1,11,0,0,1,0,69,0,1,0,36,0,4,0,0,4,58,0,1,0,1,17,9,2,2,2,0,1,11
19,5,8,5,0,4,1,13,3,0,1,1,67,2,1,1,28,2,0,2,2,3,58,0,0,2,1,22,7,1,3,0,0,0,11
16,6,9,7,0,3,1,12,3,0,1,2,49,0,3,1,26,0,0,2,1,3,47,0,0,2,1,16,66,1,1,3,0,0,7
13,6,11,7,0,4,1,9,1,0,2,1,62,1,2,0,26,0,0,3,3,4,54,0,0,2,1,20,2,0,1,2,0,0,9
0,0,2,0,0,0,0,0,3,0,2,0,3,1,2,1,0,2,7,2,1,3,6,2,2,0,1,5,42,3,1,1,0,0,1
10,5,9,6,0,3,1,8,3,0,2,1,45,1,1,1,22,2,8,0,1,3,43,1,2,0,2,16,61,2,2,2,0,0,7
8,0,0,2,0,0,0,7,2,2,2,0,9,1,0,1,3,1,7,3,0,1,7,7,2,0,0,5,28,3,0,1,5,1,4
9,5,11,6,3,3,1,8,3,0,0,0,48,2,1,1,24,2,2,0,3,3,47,0,1,0,1,17,65,2,0,2,0,1,6
18,4,10,4,0,3,1,13,1,0,1,1,65,2,1,1,30,0,0,3,2,2,58,0,2,0,0,20,5,3,1,1,0,0,9
15,6,11,6,0,4,1,10,1,0,0,1,62,0,3,1,30,0,0,2,1,2,55,0,2,0,0,19,2,3,0,1,0,0,9
13,4,12,4,0,3,1,10,0,0,0,1,55,2,0,0,30,0,2,0,3,1,50,0,1,2,2,17,71,2,1,0,0,1,9
16,7,11,7,0,5,1,11,2,0,1,1,69,2,1,1,30,2,6,0,2,4,64,0,1,2,0,23,8,0,0,0,0,1,9
9,3,10,3,2,2,1,7,0,0,2,1,46,1,0,1,23,0,3,0,1,2,41,2,1,0,2,14,62,3,3,1,0,1,7
13,5,9,6,0,4,1,10,3,0,0,1,50,1,3,2,25,1,1,1,3,4,46,0,2,0,0,16,66,3,0,1,0,0,7
16,3,10,4,2,2,1,12,2,0,0,0,45,0,1,1,29,1,4,1,0,1,46,0,2,2,1,13,61,2,0,0,0,1,5
4,1,6,1,0,1,0,5,0,0,3,1,18,2,1,1,9,1,7,0,2,3,22,4,1,1,0,10,37,3,1,1,0,1,1
12,7,13,6,1,5,1,9,0,0,0,0,52,2,2,1,29,0,1,2,3,3,48,0,1,0,0,16,68,1,3,1,0,1,8
4,2,6,2,3,1,0,5,1,0,2,1,19,1,1,0,11,0,2,0,1,0,27,0,1,1,0,12,37,3,2,0,0,0,0
12,3,12,3,0,2,1,10,0,0,1,1,54,0,3,1,27,0,6,0,1,0,47,1,0,0,0,16,70,2,2,1,1,3,8
11,5,14,6,0,4,2,8,0,0,0,1,70,1,1,1,31,0,3,1,2,3,62,0,0,0,2,22,9,0,2,2,0,3,12
20,5,10,5,1,3,1,14,0,0,1,0,57,0,1,1,32,0,5,1,1,4,53,1,1,2,2,15,73,3,3,1,0,1,7
8,2,9,2,3,1,0,7,1,6,0,1,18,1,3,1,18,0,7,2,3,3,24,6,1,1,1,7,37,0,3,0,2,0,0
11,1,6,2,0,0,0,9,1,6,1,1,19,1,0,1,18,0,7,0,3,3,19,3,0,0,1,5,37,2,3,2,2,0,3
19,4,10,4,0,3,1,12,2,0,1,1,60,1,0,1,30,0,2,1,3,1,54,0,1,0,0,19,1,3,2,0,0,0,9
12,4,7,4,0,3,1,8,3,0,0,0,52,0,1,2,19,1,1,2,1,1,42,0,0,2,1,16,69,1,2,1,0,2,10
13,4,12,5,0,3,1,9,1,0,0,0,48,0,1,2,29,0,4,2,1,3,49,0,1,0,0,15,65,3,3,3,0,1,6
9,6,9,7,1,5,2,7,0,0,2,0,66,2,1,2,20,0,0,3,3,4,48,0,2,0,1,19,6,2,1,1,0,2,15
11,7,14,7,0,5,2,8,2,0,2,0,74,0,2,2,33,2,1,1,1,3,56,0,2,1,1,17,14,3,2,0,0,1,16
9,5,8,6,1,3,1,8,2,0,2,0,48,2,2,2,19,0,0,1,3,4,40,0,0,0,0,15,65,0,2,0,0,0,10
6,3,8,3,0,2,1,6,2,0,2,1,47,1,3,0,17,2,5,3,2,3,40,8,1,0,0,16,63,1,1,3,8,1,8
16,6,11,5,2,4,1,11,0,0,0,1,72,1,1,1,32,0,8,0,1,3,59,1,2,1,0,19,12,3,2,1,0,1,13
16,5,10,5,0,3,1,11,3,0,1,0,65,0,1,0,27,1,4,2,2,2,54,0,2,0,0,18,6,2,3,1,0,1,11
15,6,13,6,2,4,1,11,0,0,0,0,63,1,1,0,32,0,6,1,3,3,57,0,0,2,2,19,4,1,2,3,0,3,9
9,3,10,4,3,2,1,7,3,0,2,1,54,1,3,0,20,2,5,2,3,3,40,2,0,0,0,15,70,1,0,1,4,1,13
10,7,9,7,3,5,1,8,3,0,2,0,48,2,2,0,22,1,1,1,2,3,44,0,0,0,0,16,63,1,1,0,0,2,7
18,5,12,5,3,3,1,13,1,0,3,1,63,1,2,1,33,1,2,1,3,1,50,0,1,0,0,15,3,1,0,0,0,0,13
9,2,7,2,0,1,0,8,2,0,0,1,23,2,2,1,18,1,5,1,3,2,29,6,1,2,1,9,40,3,1,3,1,0,0
15,6,11,6,0,4,1,11,0,0,0,0,52,1,2,1,28,0,1,2,3,3,48,0,0,2,1,15,68,1,2,0,0,1,6
8,2,6,2,0,1,0,7,0,1,0,2,15,2,3,0,13,0,3,3,3,0,19,4,0,0,1,6,34,1,0,1,8,0,2
19,6,6,6,1,3,1,12,2,0,1,0,52,0,3,0,24,2,1,0,3,3,47,0,2,2,2,17,68,3,0,0,0,2,8
14,6,10,7,1,4,2,10,2,0,0,0,61,0,1,2,27,1,1,1,1,3,51,0,2,2,2,17,2,3,3,2,0,0,11
14,4,12,4,0,2,1,10,0,0,0,1,49,1,1,1,30,1,2,3,3,1,44,2,0,0,1,13,66,1,0,0,0,3,8
22,6,11,6,0,1,1,15,2,1,3,1,51,2,3,0,35,2,4,3,2,3,44,8,0,2,1,11,67,1,2,1,7,0,9
15,3,10,3,1,2,1,10,2,0,1,3,51,1,2,2,26,1,3,1,3,1,43,2,0,0,2,14,68,1,2,0,0,0,10
15,5,9,5,0,4,1,10,1,0,0,1,62,2,1,1,25,0,6,1,3,2,50,0,0,0,0,19,3,0,2,0,0,0,11
17,5,12,5,0,4,1,12,2,0,0,1,65,2,0,0,34,1,6,3,3,2,59,8,0,0,0,18,5,0,2,0,1,1,9
15,4,9,4,1,3,1,11,1,0,1,1,50,0,0,1,23,1,8,1,0,1,46,1,1,2,1,16,67,0,1,1,0,0,7
17,3,6,3,0,2,1,12,2,0,1,0,45,2,0,1,22,2,5,1,3,2,36,1,2,2,1,12,62,2,3,0,0,2,10
5,1,5,1,3,1,0,5,1,0,0,1,23,2,0,0,10,0,7,3,2,1,31,7,2,1,2,14,41,3,2,0,6,1,0
9,5,9,5,2,4,1,7,2,0,2,1,45,0,0,2,19,2,4,0,1,3,41,0,2,2,1,16,61,2,1,1,0,0,6
10,7,13,7,1,5,2,8,2,0,2,1,66,2,2,1,28,1,1,0,2,4,50,0,0,0,0,18,6,1,2,3,0,1,14
9,3,10,3,0,2,1,8,3,0,0,1,42,2,2,2,20,1,0,2,3,0,34,0,0,2,1,12,58,0,1,2,0,1,8
15,3,11,4,0,2,1,11,0,0,1,0,62,1,1,1,27,0,0,3,1,2,46,0,2,0,0,14,3,3,1,1,0,1,13
17,5,12,5,0,4,1,12,3,0,0,1,58,0,3,0,32,2,0,1,0,2,56,0,0,2,1,19,74,0,0,2,0,0,7
11,3,8,4,0,2,1,9,1,0,0,0,43,1,2,1,21,0,2,3,3,1,34,2,1,0,2,11,60,0,3,0,0,0,9
21,5,11,6,2,3,1,14,2,0,3,0,53,0,0,1,34,2,0,2,2,3,49,0,1,0,1,13,69,2,3,1,0,0,8
11,3,10,3,1,2,1,9,2,0,0,1,41,2,0,1,23,2,8,1,3,0,41,0,1,2,1,14,58,3,0,1,0,3,5
15,7,10,7,0,5,1,11,2,0,0,1,69,2,2,0,27,1,1,0,2,3,63,0,1,2,0,24,9,2,1,2,0,0,8
12,7,13,7,0,5,2,10,3,0,0,2,62,0,2,1,29,1,0,2,1,3,46,0,1,1,1,15,3,0,3,2,0,1,14
20,5,10,5,0,4,1,14,2,0,1,3,77,2,3,1,33,1,3,2,3,2,67,1,1,2,0,23,16,1,2,3,2,0,11
7,0,0,1,3,0,0,6,1,0,1,0,0,1,2,1,2,0,7,3,2,0,0,7,0,0,1,0,0,0,0,0,2,1,0
12,0,3,4,0,0,0,9,3,0,0,0,15,2,0,1,13,2,5,3,2,4,12,7,2,0,0,2,33,3,0,0,4,1,5
12,4,9,4,0,3,1,9,2,0,2,0,49,1,1,0,22,2,5,0,0,4,42,4,1,0,1,16,66,3,0,0,0,0,9
14,4,7,5,2,3,1,10,2,0,0,1,53,2,1,2,21,2,8,3,3,3,48,8,1,0,1,18,69,3,1,3,0,0,9
20,5,12,6,0,3,1,13,0,0,1,2,59,0,0,1,37,0,0,3,1,3,51,0,2,2,0,12,74,2,0,2,0,0,8
14,0,2,6,0,0,0,10,3,0,0,0,13,0,0,0,14,1,3,3,0,4,17,7,0,1,1,5,32,1,0,3,3,1,0
15,5,10,6,1,3,1,11,1,2,1,0,54,2,3,1,27,0,6,3,3,3,45,8,1,1,1,14,70,2,1,0,8,0,10
11,7,13,7,1,4,1,8,0,2,2,1,57,0,3,1,30,0,0,1,1,4,54,0,2,0,0,19,72,3,3,0,1,3,7
10,2,8,3,1,1,0,8,3,0,0,0,24,0,2,1,17,2,4,1,0,0,28,0,0,0,2,10,43,1,1,1,0,0,2
16,7,11,7,0,3,1,11,3,2,1,3,60,0,3,2,31,2,4,3,1,4,52,8,1,0,2,16,1,3,2,1,3,1,10
11,4,10,4,2,3,1,9,2,0,0,1,56,0,3,1,23,2,0,3,1,1,48,0,2,0,1,18,72,3,0,0,0,0,10
3,0,2,0,2,0,0,3,0,0,1,0,0,1,2,1,3,0,7,1,0,3,3,1,0,2,1,2,0,1,2,3,0,1,1
10,3,12,3,0,2,1,9,3,0,0,0,46,2,2,1,27,2,3,0,2,1,40,4,2,0,1,11,62,2,0,0,0,1,9
21,6,10,6,2,5,1,14,2,0,1,1,62,2,2,1,33,2,1,1,3,3,60,0,2,1,2,19,3,3,3,0,0,1,7
16,3,7,6,0,1,0,11,1,0,0,2,23,1,1,1,23,0,8,3,0,3,30,5,1,2,0,7,40,1,0,1,3,0,0
9,5,11,5,2,3,1,8,0,0,2,1,54,1,3,0,23,0,4,2,2,3,51,0,0,0,1,21,70,0,1,1,0,0,7
17,3,11,4,1,2,1,12,3,0,1,1,60,2,3,0,30,2,2,0,3,2,55,0,0,2,2,19,1,0,3,0,0,1,8
17,0,4,5,0,0,0,11,3,5,1,0,14,1,1,0,17,2,3,3,2,3,17,7,1,0,1,3,33,3,3,1,3,1,1
